"city","country","pop2024","latitude","longitude","cityDisp","pop2024Disp"
"Halesowen","United Kingdom",55265,52.4486,-2.04938,"Halesowen","55,265"
"Canterbury","United Kingdom",55240,51.279,1.07992,"Canterbury","55,240"
"South Croydon","United Kingdom",55198,51.3622,-0.09421,"South Croydon","55,198"
"Huyton","United Kingdom",54738,53.4115,-2.83935,"Huyton","54,738"
"Barry","United Kingdom",54673,51.3998,-3.2838,"Barry","54,673"
"Gravesend","United Kingdom",54263,51.4421,0.37106,"Gravesend","54,263"
"Eastleigh","United Kingdom",54225,50.9667,-1.35,"Eastleigh","54,225"
"Acton","United Kingdom",53689,51.509,-0.2762,"Acton","53,689"
"Washington","United Kingdom",53526,54.9,-1.51667,"Washington","53,526"
"Braintree","United Kingdom",53477,51.8782,0.55292,"Braintree","53,477"
"Hamilton","United Kingdom",53200,55.7667,-4.03333,"Hamilton","53,200"
"Brentwood","United Kingdom",52586,51.6213,0.30556,"Brentwood","52,586"
"Esher","United Kingdom",52392,51.3697,-0.36693,"Esher","52,392"
"Crosby","United Kingdom",52140,53.4778,-3.03333,"Crosby","52,140"
"Reigate","United Kingdom",52123,51.2374,-0.20582,"Reigate","52,123"
"Dunstable","United Kingdom",51973,51.8857,-0.52288,"Dunstable","51,973"
"Morecambe","United Kingdom",51644,54.0684,-2.86108,"Morecambe","51,644"
"Cumbernauld","United Kingdom",51610,55.9468,-3.99051,"Cumbernauld","51,610"
"Redhill","United Kingdom",51559,51.2405,-0.17044,"Redhill","51,559"
"Horsham","United Kingdom",51472,51.0631,-0.32757,"Horsham","51,472"
"Staines","United Kingdom",51040,51.4309,-0.50606,"Staines","51,040"
"Batley","United Kingdom",50807,53.7029,-1.6337,"Batley","50,807"
"Wellingborough","United Kingdom",50577,52.3027,-0.69446,"Wellingborough","50,577"
"Clacton-on-Sea","United Kingdom",50548,51.7897,1.15597,"Clacton-on-Sea","50,548"
"Dunfermline","United Kingdom",50380,56.0716,-3.45887,"Dunfermline","50,380"
"Bletchley","United Kingdom",50193,51.9933,-0.73471,"Bletchley","50,193"
"Keighley","United Kingdom",50171,53.8679,-1.90664,"Keighley","50,171"
"Hayes","United Kingdom",50000,51.5158,-0.4234,"Hayes","50,000"
"Paignton","United Kingdom",49886,50.4356,-3.56789,"Paignton","49,886"
"Llanelli","United Kingdom",49591,51.6819,-4.16191,"Llanelli","49,591"
"Kirkcaldy","United Kingdom",49460,56.1168,-3.15999,"Kirkcaldy","49,460"
"Bromsgrove","United Kingdom",49117,52.3357,-2.05983,"Bromsgrove","49,117"
"Sittingbourne","United Kingdom",48948,51.3413,0.73282,"Sittingbourne","48,948"
"South Benfleet","United Kingdom",48824,51.553,0.55962,"South Benfleet","48,824"
"Banbury","United Kingdom",48651,52.0632,-1.34222,"Banbury","48,651"
"West Bridgford","United Kingdom",48314,52.9298,-1.12537,"West Bridgford","48,314"
"Mitcham","United Kingdom",48311,51.4032,-0.16831,"Mitcham","48,311"
"Morden","United Kingdom",48233,51.3982,-0.19837,"Morden","48,233"
"Cwmbran","United Kingdom",48157,51.6545,-3.02281,"Cwmbran","48,157"
"Long Eaton","United Kingdom",47898,52.8985,-1.27136,"Long Eaton","47,898"
"Durham","United Kingdom",47785,54.7768,-1.57566,"Durham","47,785"
"Northwich","United Kingdom",47421,53.2588,-2.52025,"Northwich","47,421"
"Ayr","United Kingdom",47190,55.4627,-4.63393,"Ayr","47,190"
"Perth","United Kingdom",47180,56.3952,-3.43139,"Perth","47,180"
"Lancaster","United Kingdom",47162,54.0465,-2.79988,"Lancaster","47,162"
"Tipton","United Kingdom",47000,52.5296,-2.06773,"Tipton","47,000"
"Inverness","United Kingdom",46870,57.4791,-4.22398,"Inverness","46,870"
"Kilmarnock","United Kingdom",46350,55.6117,-4.49581,"Kilmarnock","46,350"
"Banstead","United Kingdom",46280,51.3223,-0.20685,"Banstead","46,280"
"Neath","United Kingdom",46126,51.6632,-3.80443,"Neath","46,126"
"King's Lynn","United Kingdom",46093,52.7517,0.39516,"King's Lynn","46,093"
"Winchester","United Kingdom",46074,51.0651,-1.3187,"Winchester","46,074"
"Barrow in Furness","United Kingdom",45865,54.1109,-3.22758,"Barrow in Furness","45,865"
"Yeovil","United Kingdom",45784,50.9416,-2.63211,"Yeovil","45,784"
"Middleton","United Kingdom",45589,53.55,-2.2,"Middleton","45,589"
"Havant","United Kingdom",45574,50.8567,-0.98559,"Havant","45,574"
"Carshalton","United Kingdom",45525,51.3683,-0.16755,"Carshalton","45,525"
"Hinckley","United Kingdom",45249,52.5389,-1.37613,"Hinckley","45,249"
"Salisbury","United Kingdom",44748,51.0693,-1.79569,"Salisbury","44,748"
"Pontefract","United Kingdom",44710,53.6911,-1.31269,"Pontefract","44,710"
"Coatbridge","United Kingdom",43970,55.8622,-4.02469,"Coatbridge","43,970"
"Sutton in Ashfield","United Kingdom",43912,53.1254,-1.26135,"Sutton in Ashfield","43,912"
"Grantham","United Kingdom",43833,52.9115,-0.64184,"Grantham","43,833"
"Merthyr Tydfil","United Kingdom",43820,51.7479,-3.37779,"Merthyr Tydfil","43,820"
